Code;Nom;DCI;Marque;Categorie;Rayon;Prix Vente;Prix Achat;Rx;Quantite;Date de preremption;Emplacement
CANDJ0000;CANDJA N°2 PACK;;CANDJA N°2 PACK;PARAPHARMA;PARAPHARMA;220000;140000;Non;0;2026-10-01;rayon
CANDJ;CANDJA N°3 PACK;;CANDJA N°3 PACK;PARAPHARMA;PARAPHARMA;220000;160000;Non;1;2026-08-23;rayon
CANDJ00003;CANDJA N°4 PACK;;CANDJA N°4 PACK;PARAPHARMA;PARAPHARMA;220000;150000;Non;1;2026-09-11;rayon
3160514;CANTU CREME CHEVEUEX;;CANTU CREME CHEVEUEX;PARAPHARMA;PARAPHARMA;130000;37165;Non;4;2032-09-01;rayon
792561;CANTU HYDRATANT CREME;;CANTU HYDRATANT CREME;PARAPHARMA;PARAPHARMA;100000;1000;Non;0;2030-05-01;rayon
595933;CANTU SHAMPOOING CHEVEUX;;CANTU SHAMPOOING CHEVEUX;PARAPHARMA;PARAPHARMA;100000;14000;Non;1;2030-08-01;rayon
497182;CAPRISUM MULTIVITAMINE;;CAPRISUM MULTIVITAMINE;PARAPHARMA;PARAPHARMA;65000;0;Non;30;2027-06-01;rayon
NUTR001;CAPRISUM SUPER PAWER;;CAPRISUM SUPER PAWER;PARAPHARMA;PARAPHARMA;65000;1200;Non;0;2026-06-01;rayon
4360056;CAPRISUN MONSTER ALARM;;CAPRISUN MONSTER ALARM;PARAPHARMA;PARAPHARMA;65000;0;Non;0;2026-06-01;rayon
capsun0002;CAPRISUN MYSTIC DRAGON;;CAPRISUN MYSTIC DRAGON;PARAPHARMA;PARAPHARMA;60000;42500;Non;0;2026-10-01;rayon
caps000000;CAPRISUN ZERO;;CAPRISUN ZERO;PARAPHARMA;PARAPHARMA;60000;42500;Non;0;2026-10-01;rayon
CAVAILL001;CAVAILLES SOIN LAVANT INTIME;;CAVAILLES SOIN LAVANT INTIME;PARAPHARMA;PARAPHARMA;90000;64000;Non;2;2030-12-01;rayon
68401108;CERAVE ANTI-RUGOSITES;;CERAVE ANTI-RUGOSITES;PARAPHARMA;PARAPHARMA;240000;0;Non;2;2030-01-01;rayon
6840016;CERAVE HYDRATANT;;CERAVE HYDRATANT;PARAPHARMA;PARAPHARMA;180000;0;Non;1;2030-01-01;rayon
6840122;CERAVE LOTION;;CERAVE LOTION;PARAPHARMA;PARAPHARMA;160000;0;Non;0;2030-01-01;rayon
CERELAC001;CERELAC BLE  LAIT SACHET;;CERELAC BLE  LAIT SACHET;PARAPHARMA;PARAPHARMA;25000;17500;Non;14;2027-03-01;rayon
3555736;CHATEAU ROGE CREME;;CHATEAU ROGE CREME;PARAPHARMA;PARAPHARMA;180000;35000;Non;1;2030-01-01;rayon
3016614;CHATEAU ROGE LAIT HYDRATANT;;CHATEAU ROGE LAIT HYDRATANT;PARAPHARMA;PARAPHARMA;243000;20000;Non;0;2028-09-01;rayon
5960028;CHATEAU ROUGE CREME;;CHATEAU ROUGE CREME;PARAPHARMA;PARAPHARMA;250000;0;Non;0;2023-01-01;rayon
