Code,Nom,DCI,Marque,Categorie,Rayon,Prix Vente,Prix Achat,Rx,Quantite,Date de preremption
MADE001,DEO MADEMAISELLE,,DEO MADEMAISELLE,PARAPHARMA,PARAPHARMA,40000,0,Non,1,46661
11959,DEO MANAVA,,DEO MANAVA,PARAPHARMA,PARAPHARMA,25000,0,Non,0,43831
DEOM001,DEO MAX,,DEO MAX,PARAPHARMA,PARAPHARMA,35000,0,Non,0,45017
949985,DEO MELIADE,,DEO MELIADE,PARAPHARMA,PARAPHARMA,25000,0,Non,0,43831
DEOM002,DEO MIXA,,DEO MIXA,PARAPHARMA,PARAPHARMA,35000,0,Non,0,45017
1215401,DEO MOANA,,DEO MOANA,PARAPHARMA,PARAPHARMA,40000,0,Non,4,48214
12555044,DEO MON AMOUR,,DEO MON AMOUR,PARAPHARMA,PARAPHARMA,25000,0,Non,0,43831
3381411,DEO NARTA,,DEO NARTA,PARAPHARMA,PARAPHARMA,45000,32000,Non,72,47484
DEON001,DEO NIVEA,,DEO NIVEA,PARAPHARMA,PARAPHARMA,40000,28500,Non,56,46600
NOVA0001,DEO NOVA,,DEO NOVA,PARAPHARMA,PARAPHARMA,40000,28500,Non,1,47543
498240,DEO OE,,DEO OE,PARAPHARMA,PARAPHARMA,30000,0,Non,0,43831
3454191,DEO PARIS EN FLEURS,,DEO PARIS EN FLEURS,PARAPHARMA,PARAPHARMA,40000,0,Non,4,46753
REXO001,DEO REXONA,,DEO REXONA,PARAPHARMA,PARAPHARMA,40000,0,Non,55,47392
drigg00001,DEO RIGGS,,DEO RIGGS,PARAPHARMA,PARAPHARMA,35000,25000,Non,19,47635
1020949,DEO SEXY,,DEO SEXY,PARAPHARMA,PARAPHARMA,25000,0,Non,0,43831
4006210,DEO SHIRLEY MAY,,DEO SHIRLEY MAY,PARAPHARMA,PARAPHARMA,20000,0,Non,0,43831
2908447,DEO SOUPLESSE,,DEO SOUPLESSE,PARAPHARMA,PARAPHARMA,30000,0,Non,0,43831
37077,DEO TAHITI,,DEO TAHITI,PARAPHARMA,PARAPHARMA,25000,0,Non,0,43831
159899,DEO USHUAIA,,DEO USHUAIA,PARAPHARMA,PARAPHARMA,40000,28500,Non,18,47969
deo00002,DEO YARA,,DEO YARA,PARAPHARMA,PARAPHARMA,30000,21200,Non,6,47604
7950855,DEOMAISON,,DEOMAISON,PARAPHARMA,PARAPHARMA,25000,1000,Non,0,45778
