Code,Nom,DCI,Marque,Categorie,Forme,Prix Vente,Prix Achat,Rx,Quantite,Peremption
PN0173,Clariton cp,,,Autre,Comprime,0,0,Non,0,
PN0174,Clariva cp,,,Autre,Comprime,0,0,Non,2,
PN0175,Clartec cp 10mg cp,,,Autre,Comprime,0,0,Non,3,
PN0176,Clavumocid 500mg cp,,,Autre,Comprime,0,0,Non,0,
PN0177,Clavumocid 1g cp,,,Autre,Comprime,0,0,Non,1,
PN0178,Cloace cp,,,Autre,Comprime,0,0,Non,1,
PN0179,Clomiflex cp 50g q,,,Autre,Comprime,0,0,Non,3,
PN0180,Clomilen cp 50mg cp,,,Autre,Comprime,0,0,Non,0,
PN0181,Co Arinate Adulte cp,,,Autre,Comprime,0,0,Non,3,
PN0182,Co Arinate Junior cp,,,Autre,Comprime,0,0,Non,4,
PN0183,Coartem B/12 20/120 cp,,,Autre,Comprime,0,0,Non,6,
PN0184,Coartem B/6 20/120 cp,,,Autre,Comprime,0,0,Non,6,
PN0185,Coartem 80mg cp,,,Autre,Comprime,0,0,Non,6,
PN0186,Co-Doliprane cp,,,Autre,Comprime,0,0,Non,5,
PN0187,Cofantrine Adulte cp,,,Autre,Comprime,0,0,Non,8,
PN0188,Cofantrine 20/120 disp cp,,,Autre,Comprime,0,0,Non,5,
PN0189,Colchimax cp,,,Autre,Comprime,0,0,Non,0,
PN0190,Colchicine cp,,,Autre,Comprime,0,0,Non,0,
PN0191,Curam 1g cp,,,Autre,Comprime,0,0,Non,0,
PN0192,Curam 500mg cp,,,Autre,Comprime,0,0,Non,0,
PN0193,Combifrinil cp,,,Autre,Comprime,0,0,Non,12,
PN0194,Daflon 500mg cp,,,Autre,Comprime,0,0,Non,2,
PN0195,Daflon 1g cp,,,Autre,Comprime,0,0,Non,4,
PN0196,Coveram 5/5mg cp,,,Autre,Comprime,0,0,Non,1,
PN0197,Coveram 10/10mg cp,,,Autre,Comprime,0,0,Non,1,
PN0198,Coveram 5/10mg cp,,,Autre,Comprime,0,0,Non,0,
PN0199,Cordarone cp 200g cp,,,Autre,Comprime,0,0,Non,0,
PN0200,Defnil cp p50/500,,,Autre,Comprime,0,0,Non,2,
PN0201,Denk Air cp,,,Autre,Comprime,0,0,Non,1,
PN0202,Dafrazol B/14 cp,,,Autre,Comprime,0,0,Non,1,
PN0203,Cupid cp 50g q,,,Autre,Comprime,0,0,Non,0,
PN0204,Curtec cp 10mg cp,,,Autre,Comprime,0,0,Non,1,
PN0205,Depakine 500mg cp,,,Autre,Comprime,0,0,Non,0,
PN0206,Depakine chrono cp,,,Autre,Comprime,0,0,Non,0,
PN0207,Diantalex cp,,,Autre,Comprime,0,0,Non,8,
PN0208,Diflamex cp 50mg q,,,Autre,Comprime,0,0,Non,0,
PN0209,Diflucan cp 150mg,,,Autre,Comprime,0,0,Non,0,
PN0210,Dycinone cp 500mg,,,Autre,Comprime,0,0,Non,1,
PN0211,Daonil cp 5mg,,,Autre,Comprime,0,0,Non,0,
PN0212,Difrarel E cp,,,Autre,Comprime,0,0,Non,0,
PN0213,Dislep cp 25g,,,Autre,Comprime,0,0,Non,0,
PN0214,Diclomax cp LP/100g cp,,,Autre,Comprime,0,0,Non,2,
PN0215,Diamox cp,,,Autre,Comprime,0,0,Non,1,
PN0216,Dynapar cp B/20,,,Autre,Comprime,0,0,Non,1,
PN0217,Distem cp,,,Autre,Comprime,0,0,Non,3,
PN0218,Dolamine cp,,,Autre,Comprime,0,0,Non,3,
PN0219,Dolex SR 75mg cp,,,Autre,Comprime,0,0,Non,1,
PN0220,Dolotren cp 100g cp,,,Autre,Comprime,0,0,Non,0,
PN0221,Dolimex 1g cp,,,Autre,Comprime,0,0,Non,20,
PN0222,Dolimex 500mg cp,,,Autre,Comprime,0,0,Non,12,
PN0223,Dolimex migraine cp,,,Autre,Comprime,0,0,Non,4,
PN0224,Dontomycine 1M.U.I cp,,,Autre,Comprime,0,0,Non,2,
PN0225,Dontomycine 3M.U.I cp,,,Autre,Comprime,0,0,Non,3,
PN0226,Doxy Denk 100mg cp,,,Autre,Comprime,0,0,Non,4,
PN0227,Doxy Denk 200mg cp,,,Autre,Comprime,0,0,Non,6,
PN0228,Doxy Exphar 200mg cp,,,Autre,Comprime,0,0,Non,1,
PN0229,Duo-cotecxin cp,,,Autre,Comprime,0,0,Non,1,
PN0230,Duphaston 10mg B/10 cp,,,Autre,Comprime,0,0,Non,4,
PN0231,Duphaston 10mg B/20 cp,,,Autre,Comprime,0,0,Non,4,
PN0232,Duspatalin cp 200mg cp,,,Autre,Comprime,0,0,Non,3,
PN0233,Entamizol 500mg cp,,,Autre,Comprime,0,0,Non,2,
PN0234,Entamizol DS 500mg cp,,,Autre,Comprime,0,0,Non,3,
PN0235,Ery 500mg cp,,,Autre,Comprime,0,0,Non,0,
