Code,Nom,DCI,Marque,Categorie,Prix Vente,Prix Achat,Rx
PN0176,"Clavumocid 500mg cp",,,Autre,0,0,Non
PN0177,"Clavumocid 1g cp",,,Autre,0,0,Non
PN0178,"Cloace cp",,,Autre,0,0,Non
PN0179,"Clomiflex cp 50g q",,,Autre,0,0,Non
PN0180,"Clomilen cp 50mg cp",,,Autre,0,0,Non
PN0181,"Co Arinate Adulte cp",,,Autre,0,0,Non
PN0182,"Co Arinate Junior cp",,,Autre,0,0,Non
PN0183,"Coartem B/12 20/120 cp",,,Autre,0,0,Non
PN0184,"Coartem B/6 20/120 cp",,,Autre,0,0,Non
PN0185,"Coartem 80mg cp",,,Autre,0,0,Non
PN0186,"Co-Doliprane cp",,,Autre,0,0,Non
PN0187,"Cofantrine Adulte cp",,,Autre,0,0,Non
PN0188,"Cofantrine 20/120 disp cp",,,Autre,0,0,Non
PN0189,"Colchimax cp",,,Autre,0,0,Non
PN0190,"Colchicine cp",,,Autre,0,0,Non
PN0191,"Curam 1g cp",,,Autre,0,0,Non
PN0192,"Curam 500mg cp",,,Autre,0,0,Non
PN0193,"Combifrinil cp",,,Autre,0,0,Non
PN0194,"Daflon 500mg cp",,,Autre,0,0,Non
PN0195,"Daflon 1g cp",,,Autre,0,0,Non
PN0196,"Coveram 5/5mg cp",,,Autre,0,0,Non
PN0197,"Coveram 10/10mg cp",,,Autre,0,0,Non
PN0198,"Coveram 5/10mg cp",,,Autre,0,0,Non
PN0199,"Cordarone cp 200g cp",,,Autre,0,0,Non
PN0200,"Defnil cp p50/500",,,Autre,0,0,Non
PN0201,"Denk Air cp",,,Autre,0,0,Non
PN0202,"Dafrazol B/14 cp",,,Autre,0,0,Non
PN0203,"Cupid cp  50g q",,,Autre,0,0,Non
PN0204,"Curtec cp 10mg cp",,,Autre,0,0,Non
PN0205,"Depakine 500mg cp",,,Autre,0,0,Non
PN0206,"Depakine chrono cp",,,Autre,0,0,Non
PN0207,"Diantalex cp",,,Autre,0,0,Non
PN0208,"Diflamex cp  50mg q",,,Autre,0,0,Non
PN0209,"Diflucan cp  150mg",,,Autre,0,0,Non
PN0210,"Dycinone cp  500mg",,,Autre,0,0,Non
PN0211,"Daonil cp  5mg",,,Autre,0,0,Non
PN0212,"Difrarel E cp",,,Autre,0,0,Non
PN0213,"Dislep cp  25g",,,Autre,0,0,Non
PN0214,"Diclomax cp LP/100g cp",,,Autre,0,0,Non
PN0215,"Diamox cp",,,Autre,0,0,Non
PN0216,"Dynapar cp  B/20",,,Autre,0,0,Non
PN0217,"Distem cp",,,Autre,0,0,Non
PN0218,"Dolamine cp",,,Autre,0,0,Non
PN0219,"Dolex SR 75mg cp",,,Autre,0,0,Non
PN0220,"Dolotren cp 100g cp",,,Autre,0,0,Non
PN0221,"Dolimex 1g cp",,,Autre,0,0,Non
PN0222,"Dolimex 500mg cp",,,Autre,0,0,Non
PN0223,"Dolimex migraine cp",,,Autre,0,0,Non
PN0224,"Dontomycine 1M.U.I cp",,,Autre,0,0,Non
PN0225,"Dontomycine 3M.U.I cp",,,Autre,0,0,Non
PN0226,"Doxy Denk 100mg cp",,,Autre,0,0,Non
PN0227,"Doxy Denk 200mg cp",,,Autre,0,0,Non
PN0228,"Doxy Exphar 200mg cp",,,Autre,0,0,Non
PN0229,"Duo-cotecxin cp",,,Autre,0,0,Non
PN0230,"Duphaston 10mg B/10 cp",,,Autre,0,0,Non
PN0231,"Duphaston 10mg B/20 cp",,,Autre,0,0,Non
PN0232,"Duspatalin cp 200mg cp",,,Autre,0,0,Non
PN0233,"Entamizol 500mg cp",,,Autre,0,0,Non
PN0234,"Entamizol DS 500mg cp",,,Autre,0,0,Non
PN0235,"Ery 500mg cp",,,Autre,0,0,Non
PN0236,"Efferalgan 500mg cp/eff",,,Autre,0,0,Non
PN0237,"Efferalgan Codeïne cp/eff",,,Autre,0,0,Non
